Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.98448e+00,4.56,4.56,-0.84,-0.92
-1.98445e+00,4.64,4.8,-0.84,-0.68
-1.98442e+00,4.64,4.48,-0.84,-0.92
-1.98438e+00,4.64,4.72,-0.84,-0.76
-1.98435e+00,4.64,4.56,-0.84,-0.92
-1.98432e+00,4.72,4.72,-0.84,-0.68
-1.98429e+00,4.64,4.56,-0.84,-0.92
-1.98426e+00,4.64,4.8,-0.84,-0.68
-1.98422e+00,4.64,4.56,-0.84,-0.92
-1.98419e+00,4.64,4.8,-0.84,-0.68
-1.98416e+00,4.64,4.56,-0.84,-0.92
-1.98413e+00,4.64,4.72,-0.84,-0.68
-1.98410e+00,4.64,4.56,-0.84,-0.92
-1.98406e+00,4.64,4.72,-0.84,-0.68
-1.98403e+00,4.64,4.56,-0.84,-0.92
-1.98400e+00,4.64,4.8,-0.84,-0.76
-1.98397e+00,4.64,4.56,-0.84,-0.92
-1.98394e+00,4.64,4.8,-0.84,-0.76
-1.98390e+00,4.64,4.56,-0.84,-0.92
-1.98387e+00,4.64,4.8,-0.84,-0.68
-1.98384e+00,4.64,4.56,-0.84,-0.92
-1.98381e+00,4.64,4.72,-0.84,-0.76
-1.98378e+00,4.64,4.56,-0.84,-0.92
-1.98374e+00,4.64,4.72,-0.84,-0.68
-1.98371e+00,4.64,4.56,-0.84,-0.92
-1.98368e+00,4.64,4.8,-0.84,-0.76
-1.98365e+00,4.64,4.56,-0.84,-0.92
-1.98362e+00,4.64,4.72,-0.84,-0.76
-1.98358e+00,4.64,4.56,-0.76,-0.92
-1.98355e+00,4.64,4.8,-0.84,-0.68
-1.98352e+00,4.64,4.56,-0.84,-0.92
-1.98349e+00,4.64,4.8,-0.84,-0.76
-1.98346e+00,4.64,4.56,-0.76,-0.92
-1.98342e+00,4.64,4.8,-0.84,-0.68
-1.98339e+00,4.64,4.56,-0.84,-0.92
-1.98336e+00,4.64,4.8,-0.84,-0.76
-1.98333e+00,4.64,4.56,-0.84,-0.92
-1.98330e+00,4.64,4.72,-0.84,-0.68
-1.98326e+00,4.64,4.56,-0.84,-0.92
-1.98323e+00,4.64,4.8,-0.84,-0.68
-1.98320e+00,4.56,4.48,-0.84,-0.92
-1.98317e+00,4.64,4.8,-0.76,-0.68
-1.98314e+00,4.64,4.56,-0.84,-0.92
-1.98310e+00,4.64,4.72,-0.84,-0.68
-1.98307e+00,4.64,4.56,-0.84,-0.92
-1.98304e+00,4.64,4.72,-0.76,-0.68
-1.98301e+00,4.64,4.56,-0.84,-0.92
-1.98298e+00,4.64,4.8,-0.84,-0.68
-1.98294e+00,4.64,4.48,-0.84,-0.92
-1.98291e+00,4.64,4.8,-0.84,-0.68
-1.98288e+00,4.64,4.56,-0.84,-0.92
-1.98285e+00,4.64,4.72,-0.84,-0.68
-1.98282e+00,4.64,4.56,-0.84,-0.92
-1.98278e+00,4.64,4.8,-0.84,-0.68
-1.98275e+00,4.64,4.56,-0.76,-0.92
-1.98272e+00,4.64,4.8,-0.84,-0.68
-1.98269e+00,4.64,4.56,-0.84,-0.92
-1.98266e+00,4.64,4.8,-0.84,-0.68
-1.98262e+00,4.64,4.56,-0.84,-0.92
-1.98259e+00,4.64,4.72,-0.84,-0.68
-1.98256e+00,4.64,4.56,-0.84,-0.92
-1.98253e+00,4.64,4.72,-0.84,-0.68
-1.98250e+00,4.64,4.56,-0.84,-0.92
-1.98246e+00,4.64,4.8,-0.84,-0.68
-1.98243e+00,4.64,4.48,-0.76,-0.92
-1.98240e+00,4.64,4.8,-0.84,-0.68
-1.98237e+00,4.64,4.56,-0.84,-0.92
-1.98234e+00,4.64,4.72,-0.76,-0.68
-1.98230e+00,4.64,4.56,-0.84,-0.92
-1.98227e+00,4.64,4.72,-0.84,-0.68
-1.98224e+00,4.56,4.56,-0.84,-0.92
-1.98221e+00,4.64,4.72,-0.84,-0.68
-1.98218e+00,4.56,4.56,-0.84,-0.92
-1.98214e+00,4.64,4.8,-0.84,-0.68
-1.98211e+00,4.64,4.48,-0.84,-0.92
-1.98208e+00,4.64,4.72,-0.84,-0.68
-1.98205e+00,4.64,4.56,-0.84,-0.92
-1.98202e+00,4.64,4.72,-0.84,-0.68
-1.98198e+00,4.64,4.56,-0.84,-0.92
-1.98195e+00,4.64,4.72,-0.84,-0.68
-1.98192e+00,4.64,4.48,-0.84,-0.92
-1.98189e+00,4.64,4.8,-0.76,-0.68
-1.98186e+00,4.64,4.56,-0.84,-0.92
-1.98182e+00,4.64,4.8,-0.84,-0.68
-1.98179e+00,4.64,4.56,-0.84,-0.92
-1.98176e+00,4.64,4.72,-0.84,-0.68
-1.98173e+00,4.64,4.56,-0.84,-0.92
-1.98170e+00,4.56,4.72,-0.84,-0.68
-1.98166e+00,4.56,4.48,-0.84,-0.92
-1.98163e+00,4.56,4.8,-0.84,-0.68
-1.98160e+00,4.64,4.56,-0.84,-0.92
-1.98157e+00,4.64,4.72,-0.92,-0.68
-1.98154e+00,4.64,4.56,-0.84,-0.92
-1.98150e+00,4.64,4.72,-0.84,-0.68
-1.98147e+00,4.64,4.56,-0.84,-0.92
-1.98144e+00,4.56,4.8,-0.76,-0.68
-1.98141e+00,4.64,4.48,-0.84,-0.92
-1.98138e+00,4.64,4.8,-0.84,-0.68
-1.98134e+00,4.64,4.56,-0.84,-0.92
-1.98131e+00,4.56,4.72,-0.76,-0.68
-1.98128e+00,4.64,4.56,-0.84,-0.92
-1.98125e+00,4.64,4.72,-0.84,-0.76
-1.98122e+00,4.64,4.56,-0.92,-0.92
-1.98118e+00,4.64,4.72,-0.84,-0.68
-1.98115e+00,4.64,4.56,-0.84,-0.92
-1.98112e+00,4.64,4.8,-0.76,-0.68
-1.98109e+00,4.64,4.56,-0.84,-0.92
-1.98106e+00,4.64,4.72,-0.76,-0.68
-1.98102e+00,4.64,4.56,-0.84,-0.92
-1.98099e+00,4.64,4.72,-0.84,-0.76
-1.98096e+00,4.64,4.56,-0.84,-0.92
-1.98093e+00,4.64,4.72,-0.84,-0.68
-1.98090e+00,4.64,4.48,-0.84,-0.92
-1.98086e+00,4.64,4.8,-0.76,-0.68
-1.98083e+00,4.64,4.56,-0.84,-0.92
-1.98080e+00,4.64,4.72,-0.84,-0.68
-1.98077e+00,4.64,4.56,-0.84,-0.92
-1.98074e+00,4.64,4.72,-0.84,-0.68
-1.98070e+00,4.64,4.56,-0.84,-0.92
-1.98067e+00,4.56,4.72,-0.84,-0.76
-1.98064e+00,4.56,4.48,-0.84,-0.92
-1.98061e+00,4.64,4.72,-0.76,-0.68
-1.98058e+00,4.64,4.56,-0.84,-0.92
-1.98054e+00,4.64,4.72,-0.84,-0.68
-1.98051e+00,4.64,4.56,-0.84,-0.92
-1.98048e+00,4.64,4.72,-0.84,-0.68
-1.98045e+00,4.64,4.56,-0.84,-0.92
-1.98042e+00,4.64,4.72,-0.84,-0.68
-1.98038e+00,4.64,4.48,-0.84,-0.92
-1.98035e+00,4.64,4.72,-0.84,-0.68
-1.98032e+00,4.56,4.56,-0.84,-0.92
-1.98029e+00,4.64,4.72,-0.84,-0.68
-1.98026e+00,4.56,4.56,-0.84,-0.92
-1.98022e+00,4.56,4.72,-0.76,-0.68
-1.98019e+00,4.64,4.56,-0.76,-0.92
-1.98016e+00,4.64,4.72,-0.76,-0.68
-1.98013e+00,4.64,4.48,-0.84,-0.92
-1.98010e+00,4.56,4.72,-0.84,-0.68
-1.98006e+00,4.64,4.48,-0.84,-0.92
-1.98003e+00,4.56,4.72,-0.84,-0.68
-1.98000e+00,4.64,4.56,-0.84,-0.92
-1.97997e+00,4.64,4.72,-0.84,-0.68
-1.97994e+00,4.64,4.56,-0.76,-0.92
-1.97990e+00,4.64,4.72,-0.84,-0.68
-1.97987e+00,4.64,4.48,-0.84,-0.92
-1.97984e+00,4.64,4.72,-0.84,-0.68
-1.97981e+00,4.64,4.56,-0.84,-0.92
-1.97978e+00,4.64,4.72,-0.84,-0.68
-1.97974e+00,4.64,4.56,-0.84,-0.92
-1.97971e+00,4.64,4.72,-0.84,-0.68
-1.97968e+00,4.56,4.56,-0.84,-0.92
-1.97965e+00,4.64,4.72,-0.84,-0.68
-1.97962e+00,4.64,4.48,-0.84,-0.92
-1.97958e+00,4.56,4.8,-0.84,-0.68
-1.97955e+00,4.64,4.56,-0.84,-0.92
-1.97952e+00,4.64,4.72,-0.84,-0.68
-1.97949e+00,4.64,4.56,-0.76,-0.92
-1.97946e+00,4.64,4.72,-0.84,-0.68
-1.97942e+00,4.56,4.56,-0.84,-0.92
-1.97939e+00,4.64,4.72,-0.76,-0.68
-1.97936e+00,4.64,4.48,-0.84,-1
-1.97933e+00,4.56,4.72,-0.84,-0.68
-1.97930e+00,4.56,4.48,-0.84,-0.92
-1.97926e+00,4.64,4.72,-0.84,-0.68
-1.97923e+00,4.64,4.56,-0.84,-0.92
-1.97920e+00,4.64,4.72,-0.84,-0.68
-1.97917e+00,4.56,4.56,-0.84,-0.92
-1.97914e+00,4.56,4.72,-0.84,-0.68
-1.97910e+00,4.64,4.48,-0.76,-0.92
-1.97907e+00,4.64,4.8,-0.76,-0.68
-1.97904e+00,4.56,4.48,-0.84,-0.92
-1.97901e+00,4.56,4.72,-0.84,-0.68
-1.97898e+00,4.64,4.48,-0.84,-0.92
-1.97894e+00,4.64,4.72,-0.84,-0.68
-1.97891e+00,4.56,4.56,-0.84,-0.92
-1.97888e+00,4.56,4.72,-0.76,-0.68
-1.97885e+00,4.64,4.48,-0.84,-0.92
-1.97882e+00,4.56,4.72,-0.76,-0.68
-1.97878e+00,4.64,4.48,-0.84,-0.92
-1.97875e+00,4.64,4.72,-0.84,-0.68
-1.97872e+00,4.64,4.56,-0.84,-0.92
-1.97869e+00,4.64,4.72,-0.84,-0.68
-1.97866e+00,4.56,4.48,-0.84,-0.92
-1.97862e+00,4.64,4.72,-0.84,-0.68
-1.97859e+00,4.64,4.48,-0.84,-0.92
-1.97856e+00,4.64,4.8,-0.84,-0.68
-1.97853e+00,4.56,4.56,-0.76,-0.92
-1.97850e+00,4.64,4.72,-0.84,-0.68
-1.97846e+00,4.64,4.56,-0.84,-0.92
-1.97843e+00,4.64,4.72,-0.84,-0.68
-1.97840e+00,4.56,4.56,-0.84,-0.92
-1.97837e+00,4.56,4.72,-0.84,-0.76
-1.97834e+00,4.56,4.48,-0.84,-0.92
-1.97830e+00,4.56,4.72,-0.84,-0.68
-1.97827e+00,4.64,4.48,-0.84,-0.92
-1.97824e+00,4.56,4.72,-0.84,-0.68
-1.97821e+00,4.64,4.56,-0.76,-0.92
-1.97818e+00,4.64,4.72,-0.84,-0.68
-1.97814e+00,4.64,4.48,-0.84,-0.92
-1.97811e+00,4.64,4.72,-0.84,-0.68
-1.97808e+00,4.64,4.48,-0.76,-0.92
-1.97805e+00,4.56,4.72,-0.84,-0.68
-1.97802e+00,4.64,4.48,-0.84,-0.92
-1.97798e+00,4.64,4.72,-0.84,-0.68
-1.97795e+00,4.64,4.56,-0.84,-0.92
-1.97792e+00,4.64,4.72,-0.84,-0.68
-1.97789e+00,4.56,4.56,-0.76,-0.92
-1.97786e+00,4.56,4.72,-0.76,-0.68
-1.97782e+00,4.64,4.48,-0.84,-0.92
-1.97779e+00,4.64,4.72,-0.84,-0.68
-1.97776e+00,4.56,4.48,-0.76,-0.92
-1.97773e+00,4.64,4.72,-0.76,-0.68
-1.97770e+00,4.56,4.48,-0.84,-0.92
-1.97766e+00,4.56,4.72,-0.84,-0.68
-1.97763e+00,4.56,4.56,-0.84,-0.92
-1.97760e+00,4.56,4.72,-0.84,-0.68
-1.97757e+00,4.56,4.48,-0.84,-0.92
-1.97754e+00,4.56,4.8,-0.84,-0.68
-1.97750e+00,4.56,4.48,-0.84,-0.92
-1.97747e+00,4.56,4.72,-0.84,-0.68
-1.97744e+00,4.56,4.48,-0.84,-0.92
-1.97741e+00,4.56,4.72,-0.84,-0.68
-1.97738e+00,4.64,4.56,-0.84,-0.92
-1.97734e+00,4.56,4.72,-0.84,-0.68
-1.97731e+00,4.64,4.48,-0.84,-0.92
-1.97728e+00,4.64,4.8,-0.76,-0.68
-1.97725e+00,4.56,4.48,-0.76,-0.92
-1.97722e+00,4.56,4.72,-0.84,-0.68
-1.97718e+00,4.64,4.48,-0.84,-0.92
-1.97715e+00,4.64,4.72,-0.84,-0.68
-1.97712e+00,4.56,4.48,-0.84,-0.92
-1.97709e+00,4.56,4.72,-0.84,-0.68
-1.97706e+00,4.56,4.48,-0.84,-0.92
-1.97702e+00,4.64,4.72,-0.84,-0.68
-1.97699e+00,4.64,4.48,-0.84,-0.92
-1.97696e+00,4.64,4.72,-0.84,-0.68
-1.97693e+00,4.64,4.48,-0.84,-0.92
-1.97690e+00,4.64,4.72,-0.76,-0.68
-1.97686e+00,4.56,4.48,-0.76,-0.92
-1.97683e+00,4.56,4.72,-0.76,-0.68
-1.97680e+00,4.56,4.48,-0.84,-0.92
-1.97677e+00,4.64,4.72,-0.84,-0.68
-1.97674e+00,4.64,4.48,-0.84,-0.92
-1.97670e+00,4.56,4.72,-0.76,-0.68
-1.97667e+00,4.64,4.48,-0.84,-0.92
-1.97664e+00,4.64,4.72,-0.84,-0.68
-1.97661e+00,4.56,4.48,-0.84,-0.92
-1.97658e+00,4.64,4.72,-0.84,-0.68
-1.97654e+00,4.56,4.48,-0.84,-0.92
-1.97651e+00,4.56,4.72,-0.76,-0.68
-1.97648e+00,4.56,4.48,-0.84,-0.92
-1.97645e+00,4.56,4.72,-0.84,-0.68
-1.97642e+00,4.64,4.48,-0.76,-0.92
-1.97638e+00,4.56,4.72,-0.84,-0.68
-1.97635e+00,4.56,4.48,-0.84,-0.92
-1.97632e+00,4.56,4.72,-0.84,-0.68
-1.97629e+00,4.64,4.48,-0.84,-0.92
-1.97626e+00,4.64,4.72,-0.84,-0.68
-1.97622e+00,4.56,4.48,-0.84,-0.92
-1.97619e+00,4.56,4.72,-0.84,-0.68
-1.97616e+00,4.64,4.48,-0.84,-0.92
-1.97613e+00,4.64,4.72,-0.76,-0.68
-1.97610e+00,4.64,4.48,-0.76,-0.92
-1.97606e+00,4.56,4.72,-0.84,-0.68
-1.97603e+00,4.64,4.48,-0.84,-0.92
-1.97600e+00,4.64,4.72,-0.84,-0.68
-1.97597e+00,4.64,4.48,-0.84,-0.92
-1.97594e+00,4.56,4.72,-0.84,-0.68
-1.97590e+00,4.64,4.48,-0.84,-0.92
-1.97587e+00,4.56,4.72,-0.84,-0.68
-1.97584e+00,4.56,4.56,-0.84,-0.92
-1.97581e+00,4.64,4.72,-0.84,-0.68
-1.97578e+00,4.56,4.48,-0.84,-0.92
-1.97574e+00,4.56,4.72,-0.76,-0.68
-1.97571e+00,4.64,4.48,-0.84,-0.92
-1.97568e+00,4.64,4.72,-0.84,-0.68
-1.97565e+00,4.64,4.48,-0.76,-0.92
-1.97562e+00,4.56,4.72,-0.84,-0.68
-1.97558e+00,4.56,4.48,-0.84,-0.92
-1.97555e+00,4.56,4.72,-0.84,-0.68
-1.97552e+00,4.64,4.48,-0.84,-0.92
-1.97549e+00,4.56,4.72,-0.84,-0.68
-1.97546e+00,4.64,4.48,-0.84,-0.92
-1.97542e+00,4.64,4.72,-0.84,-0.68
-1.97539e+00,4.64,4.48,-0.84,-0.92
-1.97536e+00,4.56,4.72,-0.84,-0.68
-1.97533e+00,4.64,4.48,-0.76,-0.92
-1.97530e+00,4.56,4.72,-0.84,-0.68
-1.97526e+00,4.64,4.48,-0.76,-0.92
-1.97523e+00,4.56,4.72,-0.84,-0.68
-1.97520e+00,4.64,4.48,-0.84,-0.92
-1.97517e+00,4.64,4.72,-0.84,-0.68
-1.97514e+00,4.64,4.48,-0.84,-0.92
-1.97510e+00,4.64,4.72,-0.76,-0.68
-1.97507e+00,4.56,4.48,-0.84,-0.92
-1.97504e+00,4.56,4.72,-0.76,-0.68
-1.97501e+00,4.56,4.48,-0.76,-0.92
-1.97498e+00,4.56,4.8,-0.76,-0.68
-1.97494e+00,4.56,4.48,-0.76,-0.92
-1.97491e+00,4.64,4.72,-0.84,-0.68
-1.97488e+00,4.56,4.48,-0.84,-0.92
-1.97485e+00,4.56,4.72,-0.76,-0.68
-1.97482e+00,4.64,4.48,-0.76,-0.92
-1.97478e+00,4.64,4.72,-0.84,-0.76
-1.97475e+00,4.56,4.48,-0.84,-0.92
-1.97472e+00,4.56,4.72,-0.84,-0.68
-1.97469e+00,4.56,4.48,-0.84,-0.92
-1.97466e+00,4.56,4.72,-0.84,-0.68
-1.97462e+00,4.64,4.48,-0.84,-0.92
-1.97459e+00,4.56,4.72,-0.84,-0.68
-1.97456e+00,4.56,4.48,-0.76,-0.92
-1.97453e+00,4.56,4.72,-0.84,-0.68
-1.97450e+00,4.56,4.48,-0.84,-0.92
-1.97446e+00,4.56,4.72,-0.76,-0.68
-1.97443e+00,4.56,4.48,-0.84,-0.92
-1.97440e+00,4.64,4.72,-0.76,-0.68
-1.97437e+00,4.56,4.48,-0.84,-0.92
-1.97434e+00,4.56,4.72,-0.76,-0.68
-1.97430e+00,4.56,4.48,-0.84,-0.92
-1.97427e+00,4.56,4.72,-0.84,-0.68
-1.97424e+00,4.56,4.48,-0.84,-0.92
-1.97421e+00,4.56,4.72,-0.84,-0.68
-1.97418e+00,4.64,4.48,-0.76,-0.92
-1.97414e+00,4.56,4.72,-0.84,-0.68
-1.97411e+00,4.56,4.48,-0.76,-0.92
-1.97408e+00,4.56,4.72,-0.84,-0.68
-1.97405e+00,4.64,4.48,-0.76,-0.92
-1.97402e+00,4.56,4.72,-0.84,-0.68
-1.97398e+00,4.56,4.48,-0.84,-0.92
-1.97395e+00,4.56,4.72,-0.84,-0.68
-1.97392e+00,4.56,4.48,-0.76,-0.92
-1.97389e+00,4.56,4.72,-0.76,-0.68
-1.97386e+00,4.56,4.48,-0.84,-0.92
-1.97382e+00,4.56,4.72,-0.84,-0.68
-1.97379e+00,4.56,4.48,-0.76,-0.92
-1.97376e+00,4.56,4.72,-0.76,-0.68
-1.97373e+00,4.64,4.48,-0.76,-0.92
-1.97370e+00,4.56,4.72,-0.76,-0.68
-1.97366e+00,4.64,4.48,-0.84,-0.92
-1.97363e+00,4.64,4.72,-0.76,-0.68
-1.97360e+00,4.64,4.48,-0.76,-0.92
-1.97357e+00,4.56,4.72,-0.76,-0.68
-1.97354e+00,4.56,4.48,-0.84,-0.92
-1.97350e+00,4.56,4.72,-0.84,-0.68
-1.97347e+00,4.56,4.48,-0.84,-0.92
-1.97344e+00,4.56,4.72,-0.84,-0.68
-1.97341e+00,4.56,4.48,-0.84,-0.92
-1.97338e+00,4.56,4.72,-0.84,-0.68
-1.97334e+00,4.64,4.48,-0.84,-0.92
-1.97331e+00,4.64,4.72,-0.84,-0.68
-1.97328e+00,4.56,4.48,-0.76,-0.92
-1.97325e+00,4.56,4.72,-0.84,-0.68
-1.97322e+00,4.56,4.48,-0.76,-0.92
-1.97318e+00,4.56,4.72,-0.76,-0.68
-1.97315e+00,4.56,4.48,-0.84,-0.92
-1.97312e+00,4.56,4.72,-0.76,-0.68
-1.97309e+00,4.64,4.48,-0.84,-0.92
-1.97306e+00,4.56,4.72,-0.84,-0.68
-1.97302e+00,4.56,4.48,-0.76,-0.92
-1.97299e+00,4.56,4.72,-0.76,-0.68
-1.97296e+00,4.56,4.48,-0.84,-0.92
-1.97293e+00,4.56,4.72,-0.84,-0.68
-1.97290e+00,4.56,4.48,-0.84,-0.92
-1.97286e+00,4.64,4.72,-0.76,-0.68
-1.97283e+00,4.56,4.48,-0.84,-0.92
-1.97280e+00,4.56,4.72,-0.84,-0.68
-1.97277e+00,4.56,4.48,-0.76,-0.92
-1.97274e+00,4.56,4.72,-0.84,-0.68
-1.97270e+00,4.64,4.48,-0.76,-0.92
-1.97267e+00,4.56,4.72,-0.84,-0.68
-1.97264e+00,4.56,4.48,-0.84,-0.92
-1.97261e+00,4.56,4.72,-0.84,-0.68
-1.97258e+00,4.56,4.48,-0.84,-0.92
-1.97254e+00,4.56,4.72,-0.84,-0.68
-1.97251e+00,4.56,4.48,-0.84,-0.92
-1.97248e+00,4.56,4.72,-0.76,-0.68
-1.97245e+00,4.56,4.48,-0.76,-0.92
-1.97242e+00,4.56,4.72,-0.84,-0.68
-1.97238e+00,4.56,4.48,-0.76,-0.92
-1.97235e+00,4.64,4.72,-0.84,-0.68
-1.97232e+00,4.56,4.48,-0.76,-0.92
-1.97229e+00,4.56,4.72,-0.84,-0.68
-1.97226e+00,4.56,4.48,-0.76,-0.92
-1.97222e+00,4.56,4.72,-0.84,-0.68
-1.97219e+00,4.56,4.48,-0.84,-0.92
-1.97216e+00,4.64,4.72,-0.76,-0.68
-1.97213e+00,4.64,4.48,-0.84,-0.92
-1.97210e+00,4.56,4.72,-0.84,-0.68
-1.97206e+00,4.56,4.48,-0.84,-0.92
-1.97203e+00,4.56,4.72,-0.84,-0.68
-1.97200e+00,4.56,4.48,-0.84,-0.92
-1.97197e+00,4.56,4.72,-0.84,-0.68
-1.97194e+00,4.56,4.48,-0.84,-0.92
-1.97190e+00,4.56,4.72,-0.84,-0.68
-1.97187e+00,4.64,4.48,-0.84,-0.92
-1.97184e+00,4.56,4.72,-0.76,-0.68
-1.97181e+00,4.56,4.48,-0.76,-0.92
-1.97178e+00,4.56,4.72,-0.84,-0.68
-1.97174e+00,4.56,4.48,-0.76,-0.92
-1.97171e+00,4.56,4.72,-0.76,-0.68
-1.97168e+00,4.64,4.48,-0.76,-0.92
-1.97165e+00,4.64,4.72,-0.76,-0.68
-1.97162e+00,4.56,4.48,-0.76,-0.92
-1.97158e+00,4.56,4.72,-0.84,-0.68
-1.97155e+00,4.56,4.48,-0.84,-0.92
-1.97152e+00,4.56,4.72,-0.84,-0.68
-1.97149e+00,4.56,4.48,-0.76,-0.92
-1.97146e+00,4.64,4.72,-0.84,-0.68
-1.97142e+00,4.56,4.48,-0.84,-0.92
-1.97139e+00,4.56,4.72,-0.76,-0.68
-1.97136e+00,4.56,4.48,-0.84,-0.92
-1.97133e+00,4.56,4.72,-0.84,-0.68
-1.97130e+00,4.64,4.48,-0.76,-0.92
-1.97126e+00,4.56,4.72,-0.76,-0.68
-1.97123e+00,4.56,4.48,-0.84,-0.92
-1.97120e+00,4.56,4.72,-0.76,-0.68
-1.97117e+00,4.56,4.48,-0.84,-0.92
-1.97114e+00,4.56,4.72,-0.84,-0.68
-1.97110e+00,4.56,4.48,-0.84,-0.92
-1.97107e+00,4.56,4.72,-0.84,-0.68
-1.97104e+00,4.56,4.48,-0.84,-0.92
-1.97101e+00,4.56,4.72,-0.84,-0.68
-1.97098e+00,4.56,4.48,-0.76,-0.92
-1.97094e+00,4.56,4.72,-0.84,-0.68
-1.97091e+00,4.56,4.48,-0.84,-0.92
-1.97088e+00,4.56,4.8,-0.84,-0.68
-1.97085e+00,4.56,4.48,-0.76,-0.92
-1.97082e+00,4.56,4.72,-0.84,-0.68
-1.97078e+00,4.56,4.48,-0.84,-0.92
-1.97075e+00,4.56,4.72,-0.84,-0.68
-1.97072e+00,4.56,4.48,-0.84,-0.92
-1.97069e+00,4.56,4.72,-0.84,-0.68
-1.97066e+00,4.48,4.48,-0.84,-0.92
-1.97062e+00,4.56,4.72,-0.84,-0.68
-1.97059e+00,4.56,4.48,-0.76,-0.92
-1.97056e+00,4.56,4.72,-0.76,-0.68
-1.97053e+00,4.56,4.48,-0.76,-0.92
-1.97050e+00,4.56,4.72,-0.84,-0.68
-1.97046e+00,4.56,4.48,-0.76,-0.92
-1.97043e+00,4.56,4.72,-0.84,-0.68
-1.97040e+00,4.56,4.48,-0.84,-0.92
-1.97037e+00,4.64,4.72,-0.84,-0.68
-1.97034e+00,4.56,4.48,-0.84,-0.92
-1.97030e+00,4.56,4.72,-0.84,-0.68
-1.97027e+00,4.64,4.48,-0.76,-0.92
-1.97024e+00,4.56,4.72,-0.76,-0.68
-1.97021e+00,4.56,4.48,-0.84,-0.92
-1.97018e+00,4.56,4.72,-0.84,-0.68
-1.97014e+00,4.56,4.4,-0.84,-0.92
-1.97011e+00,4.56,4.72,-0.76,-0.68
-1.97008e+00,4.56,4.48,-0.84,-0.92
-1.97005e+00,4.56,4.72,-0.84,-0.68
-1.97002e+00,4.56,4.48,-0.76,-0.92
-1.96998e+00,4.56,4.72,-0.76,-0.68
-1.96995e+00,4.56,4.48,-0.84,-0.92
-1.96992e+00,4.56,4.72,-0.76,-0.68
-1.96989e+00,4.48,4.48,-0.76,-0.92
-1.96986e+00,4.56,4.72,-0.76,-0.68
-1.96982e+00,4.56,4.48,-0.84,-0.92
-1.96979e+00,4.56,4.72,-0.76,-0.68
-1.96976e+00,4.56,4.48,-0.76,-0.92
-1.96973e+00,4.56,4.72,-0.84,-0.68
-1.96970e+00,4.56,4.48,-0.76,-0.92
-1.96966e+00,4.56,4.72,-0.76,-0.68
-1.96963e+00,4.56,4.48,-0.76,-0.92
-1.96960e+00,4.56,4.72,-0.76,-0.68
-1.96957e+00,4.56,4.48,-0.76,-0.92
-1.96954e+00,4.56,4.72,-0.84,-0.68
-1.96950e+00,4.56,4.48,-0.84,-0.92
-1.96947e+00,4.56,4.72,-0.76,-0.68
-1.96944e+00,4.56,4.48,-0.84,-0.92
-1.96941e+00,4.56,4.72,-0.76,-0.68
-1.96938e+00,4.56,4.48,-0.76,-0.92
-1.96934e+00,4.56,4.64,-0.76,-0.68
-1.96931e+00,4.56,4.48,-0.84,-0.92
-1.96928e+00,4.56,4.72,-0.76,-0.68
-1.96925e+00,4.56,4.48,-0.84,-0.92
-1.96922e+00,4.56,4.72,-0.84,-0.68
-1.96918e+00,4.56,4.48,-0.84,-0.92
-1.96915e+00,4.48,4.72,-0.76,-0.68
-1.96912e+00,4.56,4.48,-0.84,-0.92
-1.96909e+00,4.56,4.64,-0.84,-0.68
-1.96906e+00,4.56,4.48,-0.76,-0.92
-1.96902e+00,4.56,4.72,-0.76,-0.68
-1.96899e+00,4.56,4.48,-0.84,-0.92
-1.96896e+00,4.56,4.72,-0.76,-0.68
-1.96893e+00,4.56,4.48,-0.76,-0.92
-1.96890e+00,4.56,4.72,-0.76,-0.68
-1.96886e+00,4.56,4.48,-0.76,-0.92
-1.96883e+00,4.56,4.72,-0.84,-0.68
-1.96880e+00,4.56,4.48,-0.84,-0.92
-1.96877e+00,4.56,4.64,-0.76,-0.68
-1.96874e+00,4.56,4.48,-0.76,-0.92
-1.96870e+00,4.56,4.72,-0.84,-0.68
-1.96867e+00,4.56,4.48,-0.84,-0.92
-1.96864e+00,4.56,4.72,-0.84,-0.68
-1.96861e+00,4.48,4.48,-0.84,-0.92
-1.96858e+00,4.56,4.64,-0.76,-0.68
-1.96854e+00,4.56,4.48,-0.76,-0.92
-1.96851e+00,4.56,4.72,-0.76,-0.68
-1.96848e+00,4.56,4.48,-0.76,-0.92
-1.96845e+00,4.56,4.72,-0.84,-0.68
-1.96842e+00,4.56,4.48,-0.76,-0.92
-1.96838e+00,4.56,4.72,-0.76,-0.68
-1.96835e+00,4.48,4.48,-0.76,-0.92
-1.96832e+00,4.56,4.72,-0.76,-0.68
-1.96829e+00,4.56,4.48,-0.76,-0.92
-1.96826e+00,4.56,4.72,-0.84,-0.68
-1.96822e+00,4.56,4.48,-0.84,-0.92
-1.96819e+00,4.56,4.72,-0.76,-0.68
